City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hithadhoo,MV,82.24,broken clouds,-0.6,73.0833,Scoop Guest House
2,Portland,US,75.0,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
9,Arraial Do Cabo,BR,77.0,clear sky,-22.9661,-42.0278,Pousada Porto Praia
13,Kirakira,SB,84.0,few clouds,-10.4544,161.9205,SanBiz Lodge
16,Bambous Virieux,MU,78.01,light rain,-20.3428,57.7575,Casa Tia Villa
17,Carutapera,BR,76.91,overcast clouds,-1.195,-46.02,Lidera
18,Isangel,VU,82.54,few clouds,-19.55,169.2667,Volcano Sea View Tree House
27,Hilo,US,78.8,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
28,Belmonte,BR,77.0,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
34,Bolong,PH,75.2,scattered clouds,7.0983,122.2392,Pitas Beach
40,Ternate,ID,80.89,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
46,Point Fortin,TT,84.0,overcast clouds,10.1833,-61.6833,Jus Les' Suites
49,Rikitea,PF,78.13,broken clouds,-23.1203,-134.9692,Pension Maro'i
51,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
53,Kapaa,US,77.0,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
57,Sharjah,AE,80.6,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
63,Butaritari,KI,82.38,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
70,Karratha,AU,78.46,clear sky,-20.7377,116.8463,ibis Styles Karratha
73,Vaini,TO,78.8,few clouds,-21.2,-175.2,Keleti Beach Resort
77,Avarua,CK,82.4,few clouds,-21.2078,-159.775,Paradise Inn
79,Alofi,NU,82.4,few clouds,-19.0595,-169.9187,Taloa Heights
81,El Alto,PE,80.6,scattered clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
84,Calintaan,PH,77.86,overcast clouds,12.5667,120.9333,Jackson Hotel
85,Sinnamary,GF,78.55,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
86,Port Blair,IN,82.02,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
91,Takoradi,GH,81.45,clear sky,4.8845,-1.7554,Raybow International Hotel
95,Mahebourg,MU,77.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
98,Saucillo,MX,89.13,overcast clouds,28.0167,-105.2833,Hotel La Posada de San Judas Tadeo
102,Maumere,ID,76.96,broken clouds,-8.6199,122.2111,Sylvia Hotel
103,Washougal,US,75.0,clear sky,45.5826,-122.3534,Camas Hotel & Suites Portland - Vancouver
107,Atuona,PF,80.8,few clouds,-9.8,-139.0333,Villa Enata
113,Faanui,PF,82.45,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
115,Georgetown,MY,78.8,light rain,5.4112,100.3354,Cititel Penang
119,Bairiki,KI,84.2,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
121,Saint-Pierre,RE,77.0,light rain,-21.3393,55.4781,Lindsey Hôtel
124,Tautira,PF,87.8,light rain,-17.7333,-149.15,Pension Oaoa
127,Puerto Ayora,EC,79.0,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
129,Coahuayana,MX,87.8,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
132,Biak,ID,75.11,overcast clouds,-0.9131,122.8766,Penginapan Kim
133,Kahului,US,80.6,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
136,Umm Lajj,SA,79.75,clear sky,25.0213,37.2685,Moon light Furnished Units
144,Dingle,PH,76.44,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
145,Sao Jose Da Coroa Grande,BR,76.21,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
146,Chabahar,IR,80.51,few clouds,25.2919,60.643,هتل گدروشیا
147,Thinadhoo,MV,82.6,broken clouds,0.5333,72.9333,
149,Lahij,YE,76.84,clear sky,13.1667,44.5833,
155,Caucaguita,VE,84.2,drizzle,10.3578,-66.8025,Monte Carmelo
156,Cabo San Lucas,MX,86.0,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
159,San Cristobal,VE,86.0,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
160,Salalah,OM,80.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
166,Mango,US,79.0,scattered clouds,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
169,Kavieng,PG,81.14,light rain,-2.5744,150.7967,Nusa Island Retreat
172,Filingue,NE,87.6,clear sky,14.3521,3.3168,
175,Ahuimanu,US,80.6,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
193,Beira,MZ,75.2,few clouds,-19.8436,34.8389,Beira Terrace Hotel
197,Kuala Sungai Baru,MY,77.0,light rain,2.3594,102.0353,PNK Resort Melaka Barat
205,Patharia,IN,80.17,few clouds,23.9,79.2,Maraige hool शादी घर पथरिया दमोह
206,Ranong,TH,79.95,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
209,Sena Madureira,BR,77.45,overcast clouds,-9.0656,-68.6569,Hotel Central
210,Funadhoo,MV,82.35,heavy intensity rain,6.15,73.2667,Dhaffalhu Tourist Lodge
214,Vanimo,PG,78.37,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
216,Cabedelo,BR,77.0,broken clouds,-6.9811,-34.8339,Hotel Pigalle
217,Curaca,BR,82.29,overcast clouds,-8.9903,-39.9094,Curaca
219,Xuddur,SO,77.61,overcast clouds,4.1213,43.8894,Banjanay Hotel
224,Port-Gentil,GA,82.4,few clouds,-0.7193,8.7815,Fengshui Residence
227,Puerto Quijarro,BO,80.04,scattered clouds,-17.7833,-57.7667,Hotel palance
229,Sarangani,PH,81.57,overcast clouds,5.4033,125.4636,Ballistic Islet
233,Mormugao,IN,82.4,scattered clouds,15.4,73.8,Coconut Creek Resort
240,Santiago Del Estero,AR,76.86,scattered clouds,-27.7951,-64.2615,Apartamentos Castelli 90
241,Orange Walk,BZ,87.8,few clouds,17.8333,-88.8333,
242,Sao Joao Da Barra,BR,75.2,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
244,Hun,LY,75.61,broken clouds,29.1268,15.9477,Alrwasi Hotel
245,Tual,ID,82.83,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
249,Souillac,MU,77.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
253,Soyo,AO,80.35,overcast clouds,-6.1349,12.3689,Hotel Mpampa
261,Sulangan,PH,81.66,extreme rain,11.1373,123.7228,Maia's Beach Resort
265,Caravelas,BR,75.6,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
269,Pandan,PH,78.42,overcast clouds,14.0453,124.1694,Bonifacio Lodge
