City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bathsheba,BB,2021-04-14 23:36:21,13.2167,-59.5167,78.8,69,40,8.05
1,Praia Da Vitoria,PT,2021-04-14 23:35:22,38.7333,-27.0667,60.8,88,20,2.42
2,Ancud,CL,2021-04-14 23:36:29,-41.8697,-73.8203,51.01,83,47,5.99
3,Butaritari,KI,2021-04-14 23:35:29,3.0707,172.7902,81.39,78,86,7.54
4,Iquique,CL,2021-04-14 23:33:58,-20.2208,-70.1431,66.2,68,20,10.36
5,Moron,AR,2021-04-14 23:33:17,-34.6534,-58.6198,69.01,69,1,5.03
6,Upernavik,GL,2021-04-14 23:36:08,72.7868,-56.1549,-10.1,99,97,4.94
7,Pisco,PE,2021-04-14 23:36:30,-13.7,-76.2167,68.0,77,0,13.8
8,Nordby,DK,2021-04-14 23:36:30,55.446,8.3979,35.6,64,50,3.44
9,Tomatlan,MX,2021-04-14 23:36:31,19.9333,-105.25,84.47,41,4,9.1
10,Elko,US,2021-04-14 23:36:31,41.0002,-115.5012,46.0,75,90,8.05
11,Ushuaia,AR,2021-04-14 23:35:11,-54.8,-68.3,42.8,65,40,8.05
12,Rikitea,PF,2021-04-14 23:35:03,-23.1203,-134.9692,78.33,69,8,5.68
13,Lakselv,NO,2021-04-14 23:36:32,70.0513,24.9718,26.6,68,75,5.75
14,Punta Arenas,CL,2021-04-14 23:35:05,-53.15,-70.9167,37.4,87,0,17.27
15,Emerald,AU,2021-04-14 23:35:57,-23.5333,148.1667,73.99,56,1,8.05
16,San Patricio,US,2021-04-14 23:35:46,28.017,-97.5169,87.8,66,40,13.8
17,Airai,TL,2021-04-14 23:35:22,-8.9266,125.4092,66.34,51,39,3.15
18,Dikson,RU,2021-04-14 23:35:04,73.5069,80.5464,-21.3,100,100,5.97
19,Hobart,AU,2021-04-14 23:35:15,-42.8794,147.3294,57.2,51,20,21.85
20,Lebu,CL,2021-04-14 23:35:11,-37.6167,-73.65,56.34,92,66,4.9
21,Olafsvik,IS,2021-04-14 23:36:33,64.8945,-23.7142,41.61,92,46,15.03
22,Mataura,NZ,2021-04-14 23:35:39,-46.1927,168.8643,60.01,79,57,4.0
23,Bredasdorp,ZA,2021-04-14 23:35:21,-34.5322,20.0403,51.8,93,8,3.44
24,Fairbanks,US,2021-04-14 23:36:33,64.8378,-147.7164,48.2,40,90,9.22
25,Sorland,NO,2021-04-14 23:35:27,67.667,12.6934,41.18,85,100,26.44
26,Joao Camara,BR,2021-04-14 23:36:34,-5.5375,-35.8197,78.8,89,0,4.61
27,Alta Floresta,BR,2021-04-14 23:36:34,-9.8756,-56.0861,72.37,93,98,1.45
28,Samarai,PG,2021-04-14 23:36:35,-10.6167,150.6667,80.04,81,100,10.63
29,Norman Wells,CA,2021-04-14 23:36:35,65.282,-126.8329,44.6,45,75,20.71
30,Albany,US,2021-04-14 23:34:59,42.6001,-73.9662,66.2,42,75,3.44
31,Mar Del Plata,AR,2021-04-14 23:35:58,-38.0023,-57.5575,66.99,72,0,4.61
32,Acajutla,SV,2021-04-14 23:32:24,13.5928,-89.8275,87.8,48,40,4.61
33,Lompoc,US,2021-04-14 23:35:19,34.6391,-120.4579,59.0,58,78,11.5
34,Kodiak,US,2021-04-14 23:35:14,57.79,-152.4072,44.6,65,90,9.22
35,Bluff,NZ,2021-04-14 23:35:08,-46.6,168.3333,60.01,79,51,4.0
36,Cape Town,ZA,2021-04-14 23:30:21,-33.9258,18.4232,63.0,88,0,6.91
37,Rezina,MD,2021-04-14 23:36:37,47.7492,28.9622,44.87,91,100,7.7
38,Maiduguri,NG,2021-04-14 23:36:37,11.8464,13.1603,82.47,12,38,3.49
39,Gemena,CD,2021-04-14 23:36:38,3.25,19.7667,73.0,71,34,2.01
40,Mazamari,PE,2021-04-14 23:36:38,-11.3258,-74.5308,71.96,95,78,1.45
41,Mount Isa,AU,2021-04-14 23:36:38,-20.7333,139.5,82.4,34,0,8.05
42,Sinop,TR,2021-04-14 23:36:39,41.7711,34.8709,48.47,80,88,5.75
43,Busselton,AU,2021-04-14 23:35:06,-33.65,115.3333,62.58,65,98,3.67
44,Puerto Ayora,EC,2021-04-14 23:35:23,-0.7393,-90.3518,80.6,78,20,13.8
45,Dankaur,IN,2021-04-14 23:36:39,28.35,77.55,77.0,29,40,7.45
46,Antsirabe,MG,2021-04-14 23:36:40,-19.85,47.0333,58.82,96,100,2.57
47,Haines Junction,CA,2021-04-14 23:36:40,60.7522,-137.5108,44.6,42,97,5.75
48,Celestun,MX,2021-04-14 23:36:41,20.8667,-90.4,80.67,77,35,16.87
49,Lavrentiya,RU,2021-04-14 23:36:15,65.5833,-171.0,28.96,93,100,2.1
50,Barrow,US,2021-04-14 23:35:38,71.2906,-156.7887,15.8,73,1,13.8
51,Touros,BR,2021-04-14 23:35:05,-5.1989,-35.4608,78.8,89,0,4.61
52,Ponta Do Sol,PT,2021-04-14 23:35:11,32.6667,-17.1,64.4,72,20,5.75
53,Tautira,PF,2021-04-14 23:36:42,-17.7333,-149.15,86.0,74,90,8.05
54,Jamestown,US,2021-04-14 23:31:27,42.097,-79.2353,50.0,43,1,9.22
55,Bandarbeyla,SO,2021-04-14 23:36:42,9.4942,50.8122,79.5,78,46,5.97
56,Nuuk,GL,2021-04-14 23:31:48,64.1835,-51.7216,21.2,93,90,18.41
57,Qianan,CN,2021-04-14 23:36:43,44.9932,124.0581,47.34,22,65,9.22
58,Coahuayana,MX,2021-04-14 23:36:43,18.7333,-103.6833,84.2,54,40,17.27
59,Vestmanna,FO,2021-04-14 23:36:44,62.1564,-7.1664,44.6,100,75,11.5
60,Zhigalovo,RU,2021-04-14 23:36:44,54.8097,105.1578,29.48,92,100,3.56
